City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
441,Samarai,PG,82.04,broken clouds,-10.6167,150.6667,Nuli Sapi
443,Tamasi,HU,63.68,overcast clouds,46.6333,18.2833,Termál Motel és Kemping
446,Mogadishu,SO,82.56,broken clouds,2.0371,45.3438,Hotel Juba
448,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
449,Bracebridge,CA,68.32,clear sky,45.0334,-79.3163,BRACEBRIDGE INN
452,Bac Lieu,VN,82.22,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
456,Sapele,NG,81.23,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
463,Tshikapa,CD,76.51,overcast clouds,-6.4167,20.8,Tatem beach
465,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Alize Plage
470,Moerai,PF,78.26,overcast clouds,-22.4333,-151.3333,Le Manotel
471,Viedma,AR,74.68,clear sky,-40.8135,-62.9967,Hotel Cristal
476,Bima,ID,76.82,broken clouds,-8.4667,118.7167,Lambitu Hotel
478,Aksu,CN,76.62,clear sky,41.1231,80.2644,Pudong Holiday Hotel
479,Isabela,PH,79.07,moderate rain,6.7085,121.9711,Isawad Resort
480,Cacequi,BR,73.18,clear sky,-29.8836,-54.825,Hotel e Churrascaria Gaúcho
483,Ilhabela,BR,72.55,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
485,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
487,Mwense,ZM,72.73,overcast clouds,-10.3845,28.698,Mwense Council Guest House
488,Makakilo City,US,75.18,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
490,Lillers,FR,66.4,broken clouds,50.5635,2.4804,Castle Philiomel
492,Luwuk,ID,77.99,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
493,Kieta,PG,78.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
495,Atambua,ID,72.63,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
