City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Port Elizabeth,ZA,-33.918,25.5701,63.32,75,75,8.05,broken clouds
203,Shuangyashan,CN,46.6361,131.1539,40.93,51,50,6.62,scattered clouds
204,Cabo San Lucas,MX,22.8909,-109.9124,90.61,48,94,9.28,overcast clouds
205,Cap Malheureux,MU,-19.9842,57.6142,74.46,78,2,1.01,clear sky
206,Yabelo,ET,4.8833,38.0833,61.36,85,75,7.16,broken clouds
207,Buraydah,SA,26.326,43.975,84.65,14,10,11.18,clear sky
208,Emerald,AU,-23.5333,148.1667,62.74,77,100,13.8,overcast clouds
209,Upernavik,GL,72.7868,-56.1549,21.56,69,93,6.42,overcast clouds
210,Khandbari,NP,27.3747,87.2039,70.03,80,87,2.89,overcast clouds
211,Ixtapa,MX,20.7,-105.2,93.04,31,32,7.99,scattered clouds
212,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,13.8,moderate rain
213,Mahebourg,MU,-20.4081,57.7,75.49,83,40,5.75,scattered clouds
214,Jamtara,IN,23.95,86.8,84.65,53,25,13.42,scattered clouds
215,Ordzhonikidze,KZ,52.4411,61.7408,49.8,34,15,8.32,few clouds
216,Pulgaon,IN,20.7333,78.3333,98.56,15,76,5.28,broken clouds
217,Arys,KZ,42.4252,68.795,74.59,41,48,12.19,scattered clouds
218,Port Blair,IN,11.6667,92.75,82.44,89,75,8.05,drizzle
219,Torbay,CA,47.6666,-52.7314,49.75,51,20,11.5,few clouds
220,Faanui,PF,-16.4833,-151.75,81.32,76,10,10.69,light rain
221,Coahuayana,MX,18.7333,-103.6833,88.23,47,48,8.1,scattered clouds
222,Saint-Augustin,CA,51.226,-58.6502,46.13,42,72,9.17,broken clouds
223,Progreso,MX,21.2833,-89.6667,91.13,54,0,11.81,clear sky
224,Kasongo-Lunda,CD,-6.4667,16.8167,78.96,69,59,1.59,broken clouds
225,San Patricio,US,28.017,-97.5169,94.15,45,6,19.24,clear sky
226,Ampanihy,MG,-24.7,44.75,70.48,84,29,2.91,scattered clouds
227,Luderitz,NA,-26.6481,15.1594,60.13,60,6,15.3,clear sky
228,Krasnoarmeysk,RU,51.0239,45.6969,49.77,51,11,4.99,few clouds
229,Narsaq,GL,60.9167,-46.05,39.96,78,100,4.29,overcast clouds
230,Jablanica,BA,43.6603,17.7617,69.93,85,84,4.9,broken clouds
231,Shimoda,JP,34.6667,138.95,57.11,87,79,5.75,broken clouds
232,Eskil,TR,38.4017,33.4131,53.55,57,79,7.78,broken clouds
